valueSource,historyProvider,setpointA,name1,label,priority,timestampSource,opcItemPath,dataType,documentation,name,tooltip,historyEnabled,tagType,opcServer,,
opc,Edge Historian,1,Alarm 0.0,"DI TO TR1 TIMEOUT, [SSV-01 & 02], [0.0]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.0,Boolean,"DI TO TR1 TIMEOUT, [SSV-01 & 02], [0.0]",Fault 0.0,,TRUE,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.1,"DI TO TR2 TIMEOUT, [SSV-01 & 03], [0.1]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.1,Boolean,"DI TO TR2 TIMEOUT, [SSV-01 & 03], [0.1]",Fault 0.1,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.2,"HCL TO T3 VIA PUMP 1 TIMEOUT, [PMP-1, AOV-12], [0.2]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.2,Boolean,"HCL TO T3 VIA PUMP 1 TIMEOUT, [PMP-1, AOV-12], [0.2]",Fault 0.2,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.3,"HCL TO T3 VIA PUMP 2 TIMEOUT, [PMP-2, AOV-15], [0.3]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.3,Boolean,"HCL TO T3 VIA PUMP 2 TIMEOUT, [PMP-2, AOV-15], [0.3]",Fault 0.3,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.4,"HCL TO T4 VIA PUMP 1 TIMEOUT, [PMP-1, AOV-13], [0.4]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.4,Boolean,"HCL TO T4 VIA PUMP 1 TIMEOUT, [PMP-1, AOV-13], [0.4]",Fault 0.4,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.5,"HCL TO T4 VIA PUMP 2 TIMEOUT, [PMP-2, AOV-16], [0.5]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.5,Boolean,"HCL TO T4 VIA PUMP 2 TIMEOUT, [PMP-2, AOV-16], [0.5]",Fault 0.5,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.6,"HN03 TO T3 VIA PUMP 3 TIMEOUT, [PMP-3, AOV-20], [0.6]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.6,Boolean,"HN03 TO T3 VIA PUMP 3 TIMEOUT, [PMP-3, AOV-20], [0.6]",Fault 0.6,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.7,"HN03 TO T3 VIA PUMP 4 TIMEOUT, [PMP-4, AOV-23], [0.7]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.7,Boolean,"HN03 TO T3 VIA PUMP 4 TIMEOUT, [PMP-4, AOV-23], [0.7]",Fault 0.7,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.8,"LK01 TO NEUTRALIZATION TIMEOUT, [PMP-8, AOV2,3], [0.8]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.8,Boolean,"LK01 TO NEUTRALIZATION TIMEOUT, [PMP-8, AOV2,3], [0.8]",Fault 0.8,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.9,"LK02 TO NEUTRALIZATION TIMEOUT, [PMP-7, AOV7,10], [0.9]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.9,Boolean,"LK02 TO NEUTRALIZATION TIMEOUT, [PMP-7, AOV7,10], [0.9]",Fault 0.9,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.10,"NO N2 FLOW DETECTED, PURGING PMP5 TO NEUT. BUCKET, [SV1,2, AOV-27], [0.10]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.10,Boolean,"NO N2 FLOW DETECTED, PURGING PMP5 TO NEUT. BUCKET, [SV1,2, AOV-27], [0.10]",Fault 0.10,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.11,"NO N2 FLOW DETECTED, PURGING PMP5 TO T4, [SV1,2, AOV-29], [0.11]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.11,Boolean,"NO N2 FLOW DETECTED, PURGING PMP5 TO T4, [SV1,2, AOV-29], [0.11]",Fault 0.11,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.12,"NO N2 FLOW DETECTED, PURGING PMP5 TO TR2, [SV1,2, AOV-28], [0.12]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.12,Boolean,"NO N2 FLOW DETECTED, PURGING PMP5 TO TR2, [SV1,2, AOV-28], [0.12]",Fault 0.12,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.13,"NO N2 FLOW DETECTED, PURGING PMP6 TO T4, [SV1,3, AOV-33], [0.13]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.13,Boolean,"NO N2 FLOW DETECTED, PURGING PMP6 TO T4, [SV1,3, AOV-33], [0.13]",Fault 0.13,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.14,"NO N2 FLOW DETECTED, PURGING PMP6 TO TR1, [SV1,3, AOV-34], [0.14]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.14,Boolean,"NO N2 FLOW DETECTED, PURGING PMP6 TO TR1, [SV1,3, AOV-34], [0.14]",Fault 0.14,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.15,"NO N2 FLOW DETECTED, PURGING TR1 TO NEUT, [SV1,5, AOV-10], [0.15]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.15,Boolean,"NO N2 FLOW DETECTED, PURGING TR1 TO NEUT, [SV1,5, AOV-10], [0.15]",Fault 0.15,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.16,"NO N2 FLOW DETECTED, PURGING TR1 TO T3, [SV1,5, AOV-09], [0.16]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.16,Boolean,"NO N2 FLOW DETECTED, PURGING TR1 TO T3, [SV1,5, AOV-09], [0.16]",Fault 0.16,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.17,"NO N2 FLOW DETECTED, PURGING TR1 TO T4, [SV1,5, AOV-08], [0.17]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.17,Boolean,"NO N2 FLOW DETECTED, PURGING TR1 TO T4, [SV1,5, AOV-08], [0.17]",Fault 0.17,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.18,"NO N2 FLOW DETECTED, PURGING TR2 TO NEUT, [SV1,4, AOV-3], [0.18]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.18,Boolean,"NO N2 FLOW DETECTED, PURGING TR2 TO NEUT, [SV1,4, AOV-3], [0.18]",Fault 0.18,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.19,"NO N2 FLOW DETECTED, PURGING TR2 TO T3, [SV1,4, AOV-4], [0.19]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.19,Boolean,"NO N2 FLOW DETECTED, PURGING TR2 TO T3, [SV1,4, AOV-4], [0.19]",Fault 0.19,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.20,"NO N2 FLOW DETECTED, PURGING TR2 TO T4, [SV1,4, AOV-5], [0.20]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.20,Boolean,"NO N2 FLOW DETECTED, PURGING TR2 TO T4, [SV1,4, AOV-5], [0.20]",Fault 0.20,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.21,"TR1 LOW LEVEL [LV3], NOT MADE WHEN PUMPING FROM T3 [PMP6, AOV31,34], [0.21]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.21,Boolean,"TR1 LOW LEVEL [LV3], NOT MADE WHEN PUMPING FROM T3 [PMP6, AOV31,34], [0.21]",Fault 0.21,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.22,"TR1 HIGH LEVEL [LV4], NOT MADE WHEN PUMPING FROM T3 [PMP6, AOV31,34], [0.22]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.22,Boolean,"TR1 HIGH LEVEL [LV4], NOT MADE WHEN PUMPING FROM T3 [PMP6, AOV31,34], [0.22]",Fault 0.22,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.23,"TR2 LOW LEVEL [LV6], NOT MADE WHEN PUMPING FROM T3 [PMP5, AOV25,28], [0.23]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.23,Boolean,"TR2 LOW LEVEL [LV6], NOT MADE WHEN PUMPING FROM T3 [PMP5, AOV25,28], [0.23]",Fault 0.23,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.24,"TR2 HIGH LEVEL [LV7], NOT MADE WHEN PUMPING FROM T3 [PMP5, AOV25,28], [0.24]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.24,Boolean,"TR2 HIGH LEVEL [LV7], NOT MADE WHEN PUMPING FROM T3 [PMP5, AOV25,28], [0.24]",Fault 0.24,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.25,"TR1 LOW LEVEL [LV3], NOT MADE WHEN PUMPING FROM T4 [PMP6, AOV32,34], [0.25]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.25,Boolean,"TR1 LOW LEVEL [LV3], NOT MADE WHEN PUMPING FROM T4 [PMP6, AOV32,34], [0.25]",Fault 0.25,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.26,"TR1 LOW LEVEL [LV4], NOT MADE WHEN PUMPING FROM T4 [PMP6, AOV32,34], [0.26]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.26,Boolean,"TR1 LOW LEVEL [LV4], NOT MADE WHEN PUMPING FROM T4 [PMP6, AOV32,34], [0.26]",Fault 0.26,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.27,"TR2 LOW LEVEL [LV6], NOT MADE WHEN PUMPING FROM T4 [PMP5, AOV26,28], [0.27]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.27,Boolean,"TR2 LOW LEVEL [LV6], NOT MADE WHEN PUMPING FROM T4 [PMP5, AOV26,28], [0.27]",Fault 0.27,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.28,"TR2 LOW LEVEL [LV7], NOT MADE WHEN PUMPING FROM T4 [PMP5, AOV26,28], [0.28]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.28,Boolean,"TR2 LOW LEVEL [LV7], NOT MADE WHEN PUMPING FROM T4 [PMP5, AOV26,28], [0.28]",Fault 0.28,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.29,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP8, AOV6,10], [0.29]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.29,Boolean,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP8, AOV6,10], [0.29]",Fault 0.29,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.30,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP8, AOV6,10], [0.30]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.30,Boolean,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP8, AOV6,10], [0.30]",Fault 0.30,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 0.31,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP8, AOV10,37,37], [0.31]",Medium,Value,ns=1;s=[ARTNS]FAULT_0.31,Boolean,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP8, AOV10,37,37], [0.31]",Fault 0.31,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.00,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP8, AOV10,37,37], [1.0]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.0,Boolean,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP8, AOV10,37,37], [1.0]",Fault 1.00,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.01,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO T3 [PMP8, AOV6,9], [1.1]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.1,Boolean,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO T3 [PMP8, AOV6,9], [1.1]",Fault 1.01,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.02,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO T3 [PMP8, AOV6,9], [1.2]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.2,Boolean,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO T3 [PMP8, AOV6,9], [1.2]",Fault 1.02,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.03,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO T4 [PMP8, AOV6,8], [1.3]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.3,Boolean,"TR1 HIGH LEVEL [LV4], STILL ON WHEN PUMPING TO T4 [PMP8, AOV6,8], [1.3]",Fault 1.03,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.04,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO T4 [PMP8, AOV6,8], [1.4]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.4,Boolean,"TR1 LOW LEVEL [LV3], STILL ON WHEN PUMPING TO T4 [PMP8, AOV6,8], [1.4]",Fault 1.04,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.05,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP7, AOV1,3], [1.5]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.5,Boolean,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP7, AOV1,3], [1.5]",Fault 1.05,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.06,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP7, AOV1,3], [1.6]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.6,Boolean,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO NEUTRALIZATION [PMP7, AOV1,3], [1.6]",Fault 1.06,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.07,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.7]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.7,Boolean,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.7]",Fault 1.07,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.08,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.8]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.8,Boolean,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.8]",Fault 1.08,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.09,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.9]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.9,Boolean,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.9]",Fault 1.09,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.10,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.10]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.10,Boolean,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.10]",Fault 1.10,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.11,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,5], [1.11]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.11,Boolean,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,5], [1.11]",Fault 1.11,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.12,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T4 [PMP7, AOV1,5], [1.12]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.12,Boolean,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T4 [PMP7, AOV1,5], [1.12]",Fault 1.12,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.13,"PUMP 1 DID NOT EXTEND [PMP1], [1.13]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.13,Boolean,"PUMP 1 DID NOT EXTEND [PMP1], [1.13]",Fault 1.13,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.14,"PUMP 1 DID NOT RETRACT [PMP1], [1.14]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.14,Boolean,"PUMP 1 DID NOT RETRACT [PMP1], [1.14]",Fault 1.14,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.15,"PUMP 2 DID NOT EXTEND [PMP2], [1.15]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.15,Boolean,"PUMP 2 DID NOT EXTEND [PMP2], [1.15]",Fault 1.15,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.16,"PUMP 2 DID NOT RETRACT [PMP2], [1.16]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.16,Boolean,"PUMP 2 DID NOT RETRACT [PMP2], [1.16]",Fault 1.16,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.17,"PUMP 3 DID NOT EXTEND [PMP3], [1.17]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.17,Boolean,"PUMP 3 DID NOT EXTEND [PMP3], [1.17]",Fault 1.17,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.18,"PUMP 3 DID NOT RETRACT [PMP3], [1.18]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.18,Boolean,"PUMP 3 DID NOT RETRACT [PMP3], [1.18]",Fault 1.18,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.19,"PUMP 4 DID NOT EXTEND [PMP4], [1.19]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.19,Boolean,"PUMP 4 DID NOT EXTEND [PMP4], [1.19]",Fault 1.19,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.20,"PUMP 4 DID NOT RETRACT [PMP4], [1.20]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.20,Boolean,"PUMP 4 DID NOT RETRACT [PMP4], [1.20]",Fault 1.20,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.21,"LEAK DETECTED IN CABINET [LK01], [1.21]",High,Value,ns=1;s=[ARTNS]FAULT_1.21,Boolean,"LEAK DETECTED IN CABINET [LK01], [1.21]",Fault 1.21,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.22,"LEAK DETECTED IN CABINET [LK02], [1.22]",High,Value,ns=1;s=[ARTNS]FAULT_1.22,Boolean,"LEAK DETECTED IN CABINET [LK02], [1.22]",Fault 1.22,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.23,"SAFETY INPUT CARD 1 FAULTED [SI1], [1.23]",High,Value,ns=1;s=[ARTNS]FAULT_1.23,Boolean,"SAFETY INPUT CARD 1 FAULTED [SI1], [1.23]",Fault 1.23,,,AtomicTag,Ignition OPC UA Server,,
